--2021-04-24 18:19:29--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 2001:67c:1562::28, 2001:67c:1360:8001::34, 2001:67c:1360:8001::33, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|2001:67c:1562::28|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

546816K ........ ........ ........ ........ ........ ........ 19% 4,57M 8m32s
549888K ........ ........ ........ ........ ........ ........ 19% 5,65M 8m30s
552960K ........ ........ ........ ........ ........ ........ 19% 4,01M 8m30s
556032K ........ ........ ........ ........ ........ ........ 19% 2,22M 8m32s
559104K ........ ........ ........ ........ ........ ........ 20% 2,19M 8m34s
562176K ........ ........ ........ ........ ........ ........ 20% 2,87M 8m34s
565248K ........ ........ ........ ........ ........ ........ 20% 2,20M 8m36s
568320K ........ ........ ........ ........ ........ ........ 20% 3,85M 8m36s
571392K ........ ........ ........ ........ ........ ........ 20% 2,79M 8m37s
574464K ........ ........ ........ ........ ........ ........ 20% 2,80M 8m37s
577536K ........ ........ ........ ........ ........ ........ 20% 2,78M 8m38s
580608K ........ ........ ........ ........ ........ ........ 20% 2,70M 8m39s
583680K ........ ........ ........ ........ ........ ........ 20% 2,80M 8m39s
586752K ........ ........ ........ ........ ........ ........ 20% 2,75M 8m40s
589824K ........ ........ ........ ........ ........ ........ 21% 3,38M 8m40s
592896K ........ ........ ........ ........ ........ ........ 21% 3,90M 8m39s
595968K ........ ........ ........ ........ ........ ........ 21% 4,60M 8m38s
599040K ........ ........ ........ ........ ........ ........ 21% 4,02M 8m38s
602112K ........ ........ ........ ........ ........ ........ 21% 7,54M 8m36s
605184K ........ ........ ........ ........ ........ ........ 21% 5,54M 8m35s
608256K ........ ........ ........ ........ ........ ........ 21% 4,34M 8m34s
611328K ........ ........ ........ ........ ........ ........ 21% 5,59M 8m32s
614400K ........ ........ ........ ........ ........ ........ 21% 2,20M 8m34s
617472K ........ ........ ........ ........ ........ ........ 22% 7,93M 8m32s
620544K ........ ........ ........ ........ ........ ........ 22% 3,49M 8m32s
623616K ........ ........ ........ ........ ........ ........ 22% 6,95M 8m30s
626688K ........ ........ ........ ........ ........ ........ 22% 3,51M 8m30s
629760K ........ ........ ........ ........ ........ ........ 22% 6,12M 8m28s
632832K ........ ........ ........ ........ ........ ........ 22% 4,43M 8m27s
635904K ........ ........ ........ ........ ........ ........ 22% 4,48M 8m27s
638976K ........ ........ ........ ........ ........ ........ 22% 2,59M 8m27s
642048K ........ ........ ........ ........ ........ ........ 22% 5,22M 8m26s
645120K ........ ........ ........ ........ ........ ........ 23% 5,94M 8m25s
648192K ........ ........ ........ ........ ........ ........ 23% 2,57M 8m26s
651264K ........ ........ ........ ........ ........ ........ 23% 6,18M 8m24s
654336K ........ ........ ........ ........ ........ ........ 23% 3,12M 8m24s
657408K ........ ........ ........ ........ ........ ........ 23% 4,18M 8m23s
660480K ........ ........ ........ ........ ........ ........ 23% 7,38M 8m22s
663552K ........ ........ ........ ........ ........ ........ 23% 4,37M 8m21s
666624K ........ ........ ........ ........ ........ ........ 23% 5,91M 8m19s
669696K ........ ........ ........ ........ ........ ........ 23% 2,90M 8m20s
672768K ........ ........ ........ ........ ........ ........ 24% 14,0M 8m17s
675840K ........ ........ ........ ........ ........ ........ 24% 2,80M 8m18s
678912K ........ ........ ........ ........ ........ ........ 24% 12,2M 8m16s
681984K ........ ........ ........ ........ ........ ........ 24% 3,77M 8m15s
685056K ........ ........ ........ ........ ........ ........ 24% 6,39M 8m14s
688128K ........ ........ ........ ........ ........ ........ 24% 2,98M 8m14s
691200K ........ ........ ........ ........ ........ ........ 24% 3,08M 8m14s
694272K ........ ........ ........ ........ ........ ........ 24% 3,03M 8m14s
697344K ........ ........ ........ ........ ........ ........ 24% 10,4M 8m12s
700416K ........ ........ ........ ........ ........ ........ 25% 2,74M 8m12s
703488K ........ ........ ........ ........ ........ ........ 25% 3,65M 8m12s
706560K ........ ........ ........ ........ ........ ........ 25% 2,97M 8m12s
709632K ........ ........ ........ ........ ........ ........ 25% 2,69M 8m13s
712704K ........ ........ ........ ........ ........ ........ 25% 5,77M 8m11s
715776K ........ ........ ........ ........ ........ ........ 25% 2,75M 8m12s
718848K ........ ........ ........ ........ ........ ........ 25% 3,33M 8m11s
721920K ........ ........ ........ ........ ........ ........ 25% 2,64M 8m12s
724992K ........ ........ ........ ........ ........ ........ 25% 5,42M 8m11s
728064K ........ ........ ........ ........ ........ ........ 26% 3,43M 8m10s
731136K ........ ........ ........ ........ ........ ........ 26% 3,48M 8m10s
734208K ........ ........ ........ ........ ........ ........ 26% 2,41M 8m11s
737280K ........ ........ ........ ........ ........ ........ 26% 3,40M 8m10s
740352K ........ ........ ........ ........ ........ ........ 26% 3,68M 8m10s
743424K ........ ........ ........ ........ ........ ........ 26% 4,19M 8m9s
746496K ........ ........ ........ ........ ........ ........ 26% 4,60M 8m8s
749568K ........ ........ ........ ........ ........ ........ 26% 3,23M 8m8s
752640K ........ ........ ........ ........ ........ ........ 26% 7,45M 8m7s
755712K ........ ........ ........ ........ ........ ........ 27% 4,84M 8m5s
758784K ........ ........ ........ ........ ........ ........ 27% 6,35M 8m4s
761856K ........ ........ ........ ........ ........ ........ 27% 4,69M 8m3s
764928K ........ ........ ........ ........ ........ ........ 27% 5,98M 8m2s
768000K ........ ........ ........ ........ ........ ........ 27% 5,55M 8m1s
771072K ........ ........ ........ ........ ........ ........ 27% 4,18M 8m0s
774144K ........ ........ ........ ........ ........ ........ 27% 8,49M 7m58s
777216K ........ ........ ........ ........ ........ ........ 27% 4,46M 7m57s
780288K ........ ........ ........ ........ ........ ........ 27% 2,49M 7m58s
783360K ........ ........ ........ ........ ........ ........ 27% 8,94M 7m56s
786432K ........ ........ ........ ........ ........ ........ 28% 4,40M 7m55s
789504K ........ ........ ........ ........ ........ ........ 28% 3,71M 7m55s
