--2021-04-24 18:28:22--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.91.123, 91.189.88.248, 91.189.88.247, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.91.123|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

832512K ........ ........ ........ ........ ........ ........ 29% 4,79M 6m23s
835584K ........ ........ ........ ........ ........ ........ 29% 10,0M 6m22s
838656K ........ ........ ........ ........ ........ ........ 29% 2,95M 6m22s
841728K ........ ........ ........ ........ ........ ........ 30% 11,9M 6m21s
844800K ........ ........ ........ ........ ........ ........ 30% 5,67M 6m20s
847872K ........ ........ ........ ........ ........ ........ 30% 4,56M 6m19s
850944K ........ ........ ........ ........ ........ ........ 30% 5,06M 6m19s
854016K ........ ........ ........ ........ ........ ........ 30% 4,49M 6m18s
857088K ........ ........ ........ ........ ........ ........ 30% 3,09M 6m19s
860160K ........ ........ ........ ........ ........ ........ 30% 5,12M 6m18s
863232K ........ ........ ........ ........ ........ ........ 30% 3,92M 6m18s
866304K ........ ........ ........ ........ ........ ........ 30% 7,40M 6m17s
869376K ........ ........ ........ ........ ........ ........ 31% 3,28M 6m17s
872448K ........ ........ ........ ........ ........ ........ 31% 9,11M 6m16s
875520K ........ ........ ........ ........ ........ ........ 31% 3,84M 6m16s
878592K ........ ........ ........ ........ ........ ........ 31% 6,49M 6m15s
881664K ........ ........ ........ ........ ........ ........ 31% 3,88M 6m14s
884736K ........ ........ ........ ........ ........ ........ 31% 6,68M 6m14s
887808K ........ ........ ........ ........ ........ ........ 31% 4,79M 6m13s
890880K ........ ........ ........ ........ ........ ........ 31% 4,17M 6m13s
893952K ........ ........ ........ ........ ........ ........ 31% 8,81M 6m12s
897024K ........ ........ ........ ........ ........ ........ 32% 3,30M 6m12s
900096K ........ ........ ........ ........ ........ ........ 32% 7,81M 6m11s
903168K ........ ........ ........ ........ ........ ........ 32% 3,03M 6m11s
906240K ........ ........ ........ ........ ........ ........ 32% 13,4M 6m9s
909312K ........ ........ ........ ........ ........ ........ 32% 5,49M 6m9s
912384K ........ ........ ........ ........ ........ ........ 32% 3,39M 6m9s
915456K ........ ........ ........ ........ ........ ........ 32% 3,55M 6m9s
918528K ........ ........ ........ ........ ........ ........ 32% 8,18M 6m7s
921600K ........ ........ ........ ........ ........ ........ 32% 5,68M 6m7s
924672K ........ ........ ........ ........ ........ ........ 33% 2,16M 6m8s
927744K ........ ........ ........ ........ ........ ........ 33% 3,46M 6m8s
930816K ........ ........ ........ ........ ........ ........ 33% 12,2M 6m6s
933888K ........ ........ ........ ........ ........ ........ 33% 5,31M 6m6s
936960K ........ ........ ........ ........ ........ ........ 33% 3,79M 6m6s
940032K ........ ........ ........ ........ ........ ........ 33% 2,79M 6m6s
943104K ........ ........ ........ ........ ........ ........ 33% 17,3M 6m4s
946176K ........ ........ ........ ........ ........ ........ 33% 3,92M 6m4s
949248K ........ ........ ........ ........ ........ ........ 33% 8,34M 6m3s
952320K ........ ........ ........ ........ ........ ........ 34% 3,77M 6m3s
955392K ........ ........ ........ ........ ........ ........ 34% 9,88M 6m2s
