--2021-04-24 20:04:53--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.88.247, 91.189.88.248, 91.189.91.123, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.88.247|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

635904K ........ ........ ........ ........ ........ ........ 22% 3,99M 7m58s
638976K ........ ........ ........ ........ ........ ........ 22% 2,40M 7m59s
642048K ........ ........ ........ ........ ........ ........ 22% 3,34M 7m59s
645120K ........ ........ ........ ........ ........ ........ 23% 7,71M 7m57s
648192K ........ ........ ........ ........ ........ ........ 23% 4,55M 7m57s
651264K ........ ........ ........ ........ ........ ........ 23% 3,93M 7m56s
654336K ........ ........ ........ ........ ........ ........ 23% 3,73M 7m56s
657408K ........ ........ ........ ........ ........ ........ 23% 7,46M 7m54s
660480K ........ ........ ........ ........ ........ ........ 23% 3,54M 7m54s
663552K ........ ........ ........ ........ ........ ........ 23% 3,79M 7m54s
666624K ........ ........ ........ ........ ........ ........ 23% 6,30M 7m53s
669696K ........ ........ ........ ........ ........ ........ 23% 8,07M 7m51s
672768K ........ ........ ........ ........ ........ ........ 24% 3,37M 7m51s
675840K ........ ........ ........ ........ ........ ........ 24% 6,24M 7m50s
678912K ........ ........ ........ ........ ........ ........ 24% 4,33M 7m49s
681984K ........ ........ ........ ........ ........ ........ 24% 3,32M 7m49s
685056K ........ ........ ........ ........ ........ ........ 24% 6,65M 7m48s
688128K ........ ........ ........ ........ ........ ........ 24% 2,71M 7m48s
691200K ........ ........ ........ ........ ........ ........ 24% 7,70M 7m47s
694272K ........ ........ ........ ........ ........ ........ 24% 3,09M 7m47s
697344K ........ ........ ........ ........ ........ ........ 24% 3,81M 7m47s
700416K ........ ........ ........ ........ ........ ........ 25% 3,29M 7m47s
703488K ........ ........ ........ ........ ........ ........ 25% 11,7M 7m45s
706560K ........ ........ ........ ........ ........ ........ 25% 3,87M 7m44s
709632K ........ ........ ........ ........ ........ ........ 25% 3,09M 7m44s
712704K ........ ........ ........ ........ ........ ........ 25% 9,31M 7m43s
715776K ........ ........ ........ ........ ........ ........ 25% 4,22M 7m42s
